name,lat,lng
Hai Ba Trung - Nguyen Thi Minh Khai,10.782879,106.698107
Pham Ngoc Thach - Nguyen Thi Minh Khai,10.781696,106.696943
Pasteur - Nguyen Thi Minh Khai,10.780516,106.695852
Nam Ky Khoi Nghia - Nguyen Thi Minh Khai,10.779559,106.694981
Nam Ky Khoi Nghia - Vo Van Tan,10.780477,106.693959
Pasteur - Vo Van Tan,10.781432,106.6948
Ho Con Rua,10.782695,106.695875
Hai Ba Trung - Tran Cao Van,10.783801,106.697048
Hai Ba Trung - Nguyen Dinh Chieu,10.784677,106.695944
Pham Ngoc Thach - Nguyen Dinh Chieu,10.783561,106.694855
Pasteur - Nguyen Dinh Chieu,10.782421,106.693784
Nam Ky Khoi Nghia - Nguyen Dinh Chieu,10.781454,106.692907
Nam Ky Khoi Nghia - Dien Bien Phu,10.783504,106.690758
Pasteur - Dien Bien Phu,10.784368,106.691692
Pham Ngoc Thach - Dien Bien Phu,10.78551,106.692774
Hai Ba Trung - Dien Bien Phu,10.786472,106.693728
